,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
0,287,GNB,18,30,203,1,0,5,37,47,91.4,3,8,0,10,0,0,0,0,0,0,0,0
1,279,GNB,0,0,0,0,0,0,0,0,,13,39,0,9,1,1,0,0,0,1,0,0
2,271,GNB,0,0,0,0,0,0,0,0,,1,0,0,0,6,4,52,0,47,0,0,0
3,278,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,36,0,11,0,0,0
4,267,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,1,16,0,0,0
5,277,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,28,0,28,0,0,0
6,288,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,28,0,28,0,0,0
7,283,GNB,0,0,0,0,0,0,0,0,,5,0,0,5,2,2,15,0,10,0,0,0
8,270,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,9,0,0,0
9,132,CHI,26,45,228,0,1,5,20,27,62.1,3,11,0,7,0,0,0,0,0,0,0,0
10,128,CHI,0,0,0,0,0,0,0,0,,5,19,0,8,7,6,17,0,7,0,0,0
11,120,CHI,0,0,0,0,0,0,0,0,,6,18,0,6,1,1,27,0,27,0,0,0
12,124,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,102,0,27,0,0,0
13,138,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,49,0,9,0,0,0
14,135,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,24,0,15,0,0,0
15,125,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,0
16,133,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0
17,123,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0
18,129,CHI,0,0,0,0,0,0,0,0,,1,-2,0,-2,3,1,3,0,3,0,0,0
19,60,BAL,17,20,324,5,0,1,1,83,158.3,3,6,0,4,0,0,0,0,0,0,0,1
20,47,BAL,6,6,55,1,0,0,0,12,144.4,4,9,0,4,0,0,0,0,0,0,0,1
21,48,BAL,0,0,0,0,0,0,0,0,,14,107,2,49,0,0,0,0,0,0,0,1
22,779,BAL,0,0,0,0,0,0,0,0,,1,60,0,60,0,0,0,0,0,0,0,1
23,50,BAL,0,0,0,0,0,0,0,0,,17,56,0,11,0,0,0,0,0,0,0,1
24,57,BAL,0,0,0,0,0,0,0,0,,7,27,0,13,0,0,0,0,0,0,0,1
25,62,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,147,2,83,0,0,1
26,53,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,108,1,39,0,0,1
27,55,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,41,1,33,0,0,1
28,58,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,41,0,23,0,0,1
29,63,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,0,12,0,0,1
