,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
0,644,PIT,18,32,188,1,0,2,11,24,83.9,4,5,0,8,0,0,0,0,0,1,0,0
1,779,PIT,0,0,0,0,0,0,0,0,,16,45,0,18,3,1,4,0,4,0,0,0
2,780,PIT,0,0,0,0,0,0,0,0,,1,25,0,25,5,3,45,0,22,0,0,0
3,633,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,52,0,24,0,0,0
4,648,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,36,1,14,0,0,0
5,781,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0,0
6,325,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,0,19,0,0,0
7,639,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,9,0,0,0
8,647,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0,0
9,84,BUF,30,51,270,1,0,3,16,37,79.7,9,44,0,11,0,0,0,0,0,2,1,0
10,68,BUF,0,0,0,0,0,0,0,0,,11,72,0,25,5,3,8,0,5,2,0,0
11,684,BUF,0,0,0,0,0,0,0,0,,4,4,0,7,0,0,0,0,0,0,0,0
12,472,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,69,0,13,0,0,0
13,85,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,60,0,12,0,0,0
14,230,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,52,0,16,0,0,0
15,82,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,0,13,0,0,0
16,782,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,40,1,37,0,0,0
17,72,BUF,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0,0
18,783,MIA,16,27,202,1,1,2,17,36,79.6,4,1,1,3,0,0,0,0,0,0,0,1
19,452,MIA,0,0,0,0,0,0,0,0,,9,49,0,15,5,5,27,0,12,0,0,1
20,423,MIA,0,0,0,0,0,0,0,0,,5,16,0,5,0,0,0,0,0,0,0,1
21,784,MIA,0,0,0,0,0,0,0,0,,3,4,0,8,3,2,24,0,18,0,0,1
22,327,MIA,0,0,0,0,0,0,0,0,,2,4,0,2,0,0,0,0,0,0,0,1
23,457,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,81,0,30,0,0,1
24,785,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,61,1,36,0,0,1
25,449,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0,1
26,454,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,1
27,443,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,1
28,786,NWE,29,39,281,1,0,1,13,26,102.6,0,0,0,0,0,0,0,0,0,1,0,1
29,497,NWE,0,0,0,0,0,0,0,0,,23,100,0,35,3,2,17,0,9,1,1,1
30,481,NWE,0,0,0,0,0,0,0,0,,4,12,0,10,7,6,49,0,26,0,0,1
31,745,NWE,0,0,0,0,0,0,0,0,,1,6,0,6,5,5,42,0,11,1,0,1
32,502,NWE,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0,1
33,787,NWE,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,9,0,9,1,1,1
34,631,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,72,1,25,0,0,1
35,788,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,44,0,22,0,0,1
36,400,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,0,16,0,0,1
37,683,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0,1
38,789,LAC,31,47,337,1,1,2,3,23,85.2,4,-1,0,2,0,0,0,0,0,1,1,2
39,393,LAC,0,0,0,0,0,0,0,0,,15,57,1,14,0,0,0,0,0,0,0,2
40,790,LAC,0,0,0,0,0,0,0,0,,8,27,0,13,0,0,0,0,0,0,0,2
41,415,LAC,0,0,0,0,0,0,0,0,,1,5,0,5,1,1,2,0,2,0,0,2
42,791,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,2
43,407,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,100,0,17,1,0,2
44,396,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,82,1,20,0,0,2
45,528,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,56,0,23,0,0,2
46,792,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,49,0,22,0,0,2
47,793,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,30,0,19,0,0,2
48,794,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0,2
49,494,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0,2
50,795,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,2
51,96,WAS,11,15,122,1,0,0,0,34,119.3,3,17,0,9,0,0,0,0,0,0,0,2
52,445,WAS,3,6,13,0,0,1,2,6,56.2,1,2,0,2,0,0,0,0,0,1,0,2
53,796,WAS,0,0,0,0,0,0,0,0,,20,90,0,27,5,3,18,0,11,2,1,2
54,797,WAS,0,0,0,0,0,0,0,0,,2,9,0,5,0,0,0,0,0,0,0,2
55,662,WAS,0,0,0,0,0,0,0,0,,1,8,0,8,1,0,0,0,0,0,0,2
56,758,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,62,0,34,0,0,2
57,798,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,30,1,12,0,0,2
58,765,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0,2
59,726,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,6,0,0,2
60,799,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,-2,0,-2,0,0,2
61,521,DEN,28,36,264,2,0,2,9,25,115.7,3,19,0,8,0,0,0,0,0,0,0,3
62,409,DEN,0,0,0,0,0,0,0,0,,11,101,1,70,3,3,17,0,13,0,0,3
63,800,DEN,0,0,0,0,0,0,0,0,,14,45,0,12,1,1,-4,0,-4,0,0,3
64,801,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,72,0,20,0,0,3
65,225,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,62,0,25,0,0,3
66,802,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,0,22,0,0,3
67,224,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,39,1,16,0,0,3
68,803,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,1,6,1,1,3
69,227,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0,3
70,501,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,3
71,542,NYG,22,37,267,1,0,2,13,42,90.7,6,27,1,8,0,0,0,0,0,1,1,3
72,549,NYG,0,0,0,0,0,0,0,0,,10,26,0,5,3,1,1,0,1,0,0,3
73,221,NYG,0,0,0,0,0,0,0,0,,4,7,0,6,1,1,6,0,6,0,0,3
74,540,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,113,1,37,0,0,3
75,548,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,65,0,42,0,0,3
76,261,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,64,0,17,0,0,3
77,459,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,0,6,0,0,3
78,804,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,3
79,355,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,3
80,541,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,3
81,805,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,-2,0,4,0,0,3
82,458,MIN,36,49,351,2,0,3,26,34,106.8,0,0,0,0,0,0,0,0,0,0,0,4
83,806,MIN,1,1,11,0,0,0,0,11,112.5,0,0,0,0,9,5,71,0,34,0,0,4
84,473,MIN,0,0,0,0,0,0,0,0,,20,61,1,17,7,6,43,0,9,1,1,4
85,471,MIN,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,15,0,10,0,0,4
86,477,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,4,0,4,0,0,4
87,465,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,92,2,24,0,0,4
88,807,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,76,0,25,0,0,4
89,461,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,41,0,27,0,0,4
90,351,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0,4
91,462,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,6,0,0,4
92,576,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,4
93,808,CIN,20,27,261,2,0,5,44,50,128.8,1,2,0,2,0,0,0,0,0,0,0,4
94,146,CIN,0,0,0,0,0,0,0,0,,29,127,1,19,4,4,23,0,12,0,0,4
95,767,CIN,0,0,0,0,0,0,0,0,,5,22,0,13,1,1,7,0,7,0,0,4
96,809,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,58,1,28,0,0,4
97,140,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,0,32,0,0,4
98,163,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,18,0,0,4
