,hometeam,awayteam,weeknum,date,season,homescore,awayscore
0,CHI,GNB,1,201909050,2019,3,10
1,MIA,BAL,1,201909080,2019,10,59
2,NWE,PIT,1,201909080,2019,33,3
3,NYJ,BUF,1,201909080,2019,16,17
4,DAL,NYG,1,201909080,2019,35,17
5,PHI,WAS,1,201909080,2019,32,27
6,CLE,TEN,1,201909080,2019,13,43
7,JAX,KAN,1,201909080,2019,26,40
8,MIN,ATL,1,201909080,2019,28,12
9,TAM,SFO,1,201909080,2019,17,31
10,CAR,LAR,1,201909080,2019,27,30
11,LAC,IND,1,201909080,2019,30,24
12,SEA,CIN,1,201909080,2019,21,20
13,ARI,DET,1,201909080,2019,27,27
14,NOR,HOU,1,201909090,2019,30,28
15,OAK,DEN,1,201909090,2019,24,16
16,CAR,TAM,2,201909120,2019,14,20
17,MIA,NWE,2,201909150,2019,0,43
18,WAS,DAL,2,201909150,2019,21,31
19,NYG,BUF,2,201909150,2019,14,28
20,PIT,SEA,2,201909150,2019,26,28
21,BAL,ARI,2,201909150,2019,23,17
22,CIN,SFO,2,201909150,2019,17,41
23,TEN,IND,2,201909150,2019,17,19
24,HOU,JAX,2,201909150,2019,13,12
25,GNB,MIN,2,201909150,2019,21,16
26,DET,LAC,2,201909150,2019,13,10
27,ATL,PHI,2,201909150,2019,24,20
28,OAK,KAN,2,201909150,2019,10,28
29,DEN,CHI,2,201909150,2019,14,16
30,LAR,NOR,2,201909150,2019,27,9
31,NYJ,CLE,2,201909160,2019,3,23
32,JAX,TEN,3,201909190,2019,20,7
33,BUF,CIN,3,201909220,2019,21,17
34,NWE,NYJ,3,201909220,2019,30,14
35,DAL,MIA,3,201909220,2019,31,6
36,PHI,DET,3,201909220,2019,24,27
37,CLE,LAR,3,201909220,2019,13,20
38,IND,ATL,3,201909220,2019,27,24
39,GNB,DEN,3,201909220,2019,27,16
40,MIN,OAK,3,201909220,2019,34,14
41,TAM,NYG,3,201909220,2019,31,32
42,KAN,BAL,3,201909220,2019,33,28
43,LAC,HOU,3,201909220,2019,20,27
44,SEA,NOR,3,201909220,2019,27,33
45,ARI,CAR,3,201909220,2019,20,38
46,SFO,PIT,3,201909220,2019,24,20
47,WAS,CHI,3,201909230,2019,15,31
48,GNB,PHI,4,201909260,2019,27,34
49,BUF,NWE,4,201909290,2019,10,16
