,hometeam,awayteam,weeknum,date,season,homescore,awayscore
0,BUF,PIT,1,202109120,test,16,23
1,NWE,MIA,1,202109120,test,16,17
2,WAS,LAC,1,202109120,test,16,20
3,NYG,DEN,1,202109120,test,13,27
4,CIN,MIN,1,202109120,test,27,24
5,IND,SEA,1,202109120,test,16,28
6,TEN,ARI,1,202109120,test,13,38
7,HOU,JAX,1,202109120,test,37,21
8,DET,SFO,1,202109120,test,33,41
9,NOR,GNB,1,202109120,test,38,3
10,ATL,PHI,1,202109120,test,6,32
11,CAR,NYJ,1,202109120,test,19,14
12,KAN,CLE,1,202109120,test,33,29
13,LAR,CHI,1,202109120,test,34,14
